query_index;facts_file;extracted_case_count;task;case_study_type;case_study;online_offline;input_for_model;input_type;normalization_notes;normalized_task;normalized_case_study_type;normalized_case_study;normalized_online_offline;normalized_input_for_model;normalized_input_type;top_k;pool_size
1158;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_47ccb7197b1f.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;sensor data;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;;;;sensor data;5;15
1159;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_482dd37c6a86.ttl;1;Health assessment;Maintainable item;fan motor No. 2;Unknown synchronization;Not reported;current consumed by the motor, noise, temperature, vibration acceleration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;fan motor No. 2;;;current consumed by the motor, noise, temperature, vibration acceleration;5;15
1160;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_4869fc39c639.ttl;1;Health assessment;Maintainable item;gas-insulated switchgear;Unknown synchronization;Not reported;event logs, temperature data, vibration data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;gas-insulated switchgear;;;event logs, temperature data, vibration data;5;15
1161;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_48810fde4054.ttl;1;Health assessment;Maintainable item;induction motor;Unknown synchronization;Not reported;speed, stator current;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;induction motor;;;speed, stator current;5;15
1162;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_4a8e14b8cdd3.ttl;2;Fault detection;Maintainable item;endoscope;Unknown synchronization;regular endoscope quality check;endoscope tray number, light transmission, focus;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: regular endoscope quality check;Fault detection;;endoscope;;;endoscope tray number, light transmission, focus;5;15
1163;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_4d9acadccc67.ttl;1;Fault identification;Maintainable item;industrial centrifugal pump;Unknown synchronization;predictive maintenance;FactsfftTransformedVibrationData, spectra MFS;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: predictive maintenance;Fault identification;;industrial centrifugal pump;;;FactsfftTransformedVibrationData, spectra MFS;5;15
1164;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_50a1e18460c8.ttl;3;Remaining useful life estimation;Maintainable item;15-kV XLPE cable segments;Unknown synchronization;Not reported;Loading conditions, Neutral corrosion, Partial discharge, Sensor data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;15-kV XLPE cable segments;;;Loading conditions, Neutral corrosion, Partial discharge, Sensor data;5;15
1165;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_50da3c79d8ac.ttl;1;Health assessment;Maintainable item;thermal power unit;Unknown synchronization;Not reported;current, flow, pressure, temperature, time series operating data, FactscurrentVariable;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;thermal power unit;;;current, flow, pressure, temperature, time series operating data, FactscurrentVariable;5;15
1166;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_53448c2aae37.ttl;1;Remaining useful life estimation;Maintainable item;machine;Unknown synchronization;Not reported;machine data, weather data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;machine;;;machine data, weather data;5;15
1167;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_55219e83c51c.ttl;1;Fault detection;Maintainable item;bearing;Unknown synchronization;Not reported;exhaust gas temperature, engine power, sequential data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;bearing;;;exhaust gas temperature, engine power, sequential data;5;15
1168;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_566d79f640d4.ttl;1;Fault feature extraction;Maintainable item;engine bearing;Unknown synchronization;Not reported;FactssensorData_3;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactssensorData_3;Fault feature extraction;;engine bearing;;;;5;15
1169;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_57c2c60f0151.ttl;1;Fault detection;Maintainable item;industrial machinery;Unknown synchronization;Not reported;pressure, sound, vibrations;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;industrial machinery;;;pressure, sound, vibrations;5;15
1170;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_5a974c9e2724.ttl;1;Health assessment;Maintainable item;Power system;Unknown synchronization;Not reported;FactsenergyConsumption_1;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsenergyConsumption_1;Health assessment;;Power system;;;;5;15
1171;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_5c72dd41f880.ttl;1;Fault identification;Maintainable item;Factscable;Unknown synchronization;Not reported;center frequency;case-study type dropped: Maintainable item | case study dropped: Factscable | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;;;;center frequency;5;15
1172;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_5db748fcdacf.ttl;2;Fault identification;Maintainable item;MRI machine;Unknown synchronization;Not reported;Environmental data, Historical maintenance records, humidity, power consumption, Sensor readings, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;MRI machine;;;Environmental data, Historical maintenance records, humidity, power consumption, Sensor readings, vibration;5;15
1173;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_5dd9c7a4e0b1.ttl;1;Fault feature extraction;Maintainable item;motor bearing;Unknown synchronization;Not reported;motor bearing operational data, FactssensorInput;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;motor bearing;;;motor bearing operational data, FactssensorInput;5;15
1174;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_5e5dffc0405c.ttl;1;Fault detection;Maintainable item;Bearing;Unknown synchronization;Not reported;Asset age, Asset size, WTG dissimilarity measures, conditional input, External conditions, temporal operational data, Wake effects, WTG-specific categorical identifiers;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Bearing;;;Asset age, Asset size, WTG dissimilarity measures, conditional input, External conditions, temporal operational data, Wake effects, WTG-specific categorical identifiers;5;15
1175;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_5ea2c4b65fc0.ttl;1;Remaining useful life estimation;Maintainable item;lithium-ion cell;Unknown synchronization;Not reported;battery lifetime, capacity curve, capacity, early-stage cycle observations, first 100 battery cycles, R2, state of health, temperature series, voltage series;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;lithium-ion cell;;;battery lifetime, capacity curve, capacity, early-stage cycle observations, first 100 battery cycles, R2, state of health, temperature series, voltage series;5;15
1176;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_602809aa5df4.ttl;1;One step future state forecast;Maintainable item;k-out-of-n system;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;k-out-of-n system;;;;5;15
1177;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_610c2c043112.ttl;2;Fault identification;Maintainable item;aircraft components;Unknown synchronization;Not reported;maintenance time, random failure time;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;aircraft components;;;maintenance time, random failure time;5;15
1178;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_638e55510273.ttl;2;Fault detection;Maintainable item;robot swarm;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;robot swarm;;;;5;15
1179;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_63cfb09326c6.ttl;1;Fault detection;Maintainable item;chip;Unknown synchronization;Not reported;stress conditions, FactsvoltageVariable, working environment;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;chip;;;stress conditions, FactsvoltageVariable, working environment;5;15
1180;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_63d81f44a5a8.ttl;3;Fault detection;Maintainable item;bearing specimens;Unknown synchronization;Not reported;feature selection, fractal dimension, RMS, Root mean square (RMS), spectral centroid;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;bearing specimens;;;feature selection, fractal dimension, RMS, Root mean square (RMS), spectral centroid;5;15
1181;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_63ee7d0a864e.ttl;1;Remaining useful life estimation;Maintainable item;airborne fuel pump;Unknown synchronization;Not reported;current sensor signal, flowrate, material thickness loss, motor current, pressure, pump head rise data, pump system flow data, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;airborne fuel pump;;;current sensor signal, flowrate, material thickness loss, motor current, pressure, pump head rise data, pump system flow data, vibration;5;15
1182;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_644c5c2bc5e8.ttl;1;Fault detection;Maintainable item;Bearing;Unknown synchronization;Not reported;Degradation signals, Sensor data, vibration signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Bearing;;;Degradation signals, Sensor data, vibration signals;5;15
1183;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_64e27135ed29.ttl;1;Fault detection;Maintainable item;converter valve;Unknown synchronization;Not reported;FactscoolantFlowRate, current, System variable, temperature, voltage;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;converter valve;;;FactscoolantFlowRate, current, System variable, temperature, voltage;5;15
1184;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_65932973d86a.ttl;2;Fault feature extraction;Maintainable item;connecting rod;Unknown synchronization;Not reported;acceleration measurement data, acoustic emission signal, bending moment signal, cutting force signal, maximum decomposition level J0, radial acceleration, signal, signal energy, vibration signal, wavelet coefficient;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;connecting rod;;;acceleration measurement data, acoustic emission signal, bending moment signal, cutting force signal, maximum decomposition level J0, radial acceleration, signal, signal energy, vibration signal, wavelet coefficient;5;15
1185;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_672e62c2debc.ttl;1;Fault detection;Maintainable item;solar PV array;Unknown synchronization;Not reported;FactsvoltageVariable_1;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsvoltageVariable_1;Fault detection;;solar PV array;;;;5;15
1186;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_67da28787783.ttl;1;Remaining useful life estimation;Maintainable item;burner;Unknown synchronization;Not reported;fuel flow rate, key time-series features, FactslimitedData1, low-pressure rotor speed, thrust, total pressure before the inlet, exhaust temperature, accumulated usage time;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;burner;;;fuel flow rate, key time-series features, FactslimitedData1, low-pressure rotor speed, thrust, total pressure before the inlet, exhaust temperature, accumulated usage time;5;15
1187;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_67eacbaef38c.ttl;1;Fault detection;Maintainable item;air compressor;Unknown synchronization;Not reported;FactspressureVariable, random variables;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;air compressor;;;FactspressureVariable, random variables;5;15
1188;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_696621ed84be.ttl;1;Health assessment;Maintainable item;Ð¢ÑÐ°Ð½ÑÐ¿Ð¾ÑÑÐ½ÑÐµ ÑÑÐµÐ´ÑÑÐ²Ð°;Unknown synchronization;Not reported;ÐÐ°ÑÑÐ°Ð¶Ð¸ÑÐ¾Ð¿Ð¾ÑÐ¾Ðº;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;Ð¢ÑÐ°Ð½ÑÐ¿Ð¾ÑÑÐ½ÑÐµ ÑÑÐµÐ´ÑÑÐ²Ð°;;;ÐÐ°ÑÑÐ°Ð¶Ð¸ÑÐ¾Ð¿Ð¾ÑÐ¾Ðº;5;15
1189;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_6969dc93b9bb.ttl;2;Fault detection;Maintainable item;Distribution network of Kenitra, Morocco;Unknown synchronization;Not reported;current signals, frequency spectra, Phasor Measurement Unit data, voltage signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Distribution network of Kenitra, Morocco;;;current signals, frequency spectra, Phasor Measurement Unit data, voltage signals;5;15
1190;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_6b2d7c4fe78f.ttl;1;Health assessment;Maintainable item;bearing aging assessment target;Unknown synchronization;One-level Wavelet Decomposition;Mean frequency, Shannon entropy;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: One-level Wavelet Decomposition;Health assessment;;bearing aging assessment target;;;Mean frequency, Shannon entropy;5;15
1191;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_6ce9869fc1da.ttl;2;Health assessment;Maintainable item;Crowd winch gearbox;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Health assessment;;Crowd winch gearbox;;;;5;15
1192;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_6d52613b3619.ttl;1;Fault detection;Maintainable item;HTBTA;Unknown synchronization;Not reported;sensor data, FactsTwinData;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;HTBTA;;;sensor data, FactsTwinData;5;15
1193;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7024c526be02.ttl;1;Fault detection;Maintainable item;hydro-turbine unit;Unknown synchronization;Not reported;damage characteristic frequency, Frequency Response Function, 532 Hz, FactshydraulicExcitation, modal parameters, vibration response signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;hydro-turbine unit;;;damage characteristic frequency, Frequency Response Function, 532 Hz, FactshydraulicExcitation, modal parameters, vibration response signals;5;15
1194;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_70d54bc7cf1c.ttl;1;Fault detection;Maintainable item;Bucket wheel excavator;Unknown synchronization;Not reported;Alarm threshold values, Basic statistical parameters, conditional probability, diagnostic decision, diagnostic symptom, initial measurements, Machine load, one-sided order power spectrum, Peak value, reduced feature set, resampled vibroacoustic signal, RMS, signal frame, signal length N, Spearman correlation coefficient, spectral component, vector of states, tachometer signal, vibration-acoustic signal;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;Bucket wheel excavator;;;Alarm threshold values, Basic statistical parameters, conditional probability, diagnostic decision, diagnostic symptom, initial measurements, Machine load, one-sided order power spectrum, Peak value, reduced feature set, resampled vibroacoustic signal, RMS, signal frame, signal length N, Spearman correlation coefficient, spectral component, vector of states, tachometer signal, vibration-acoustic signal;5;15
1195;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_70eda5da7729.ttl;1;Fault detection;Maintainable item;compressor;Unknown synchronization;Not reported;monitored compressor data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;compressor;;;monitored compressor data;5;15
1196;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_73edceab6847.ttl;1;Fault detection;Maintainable item;MAR-M247;Unknown synchronization;FactssignalProcessing_1;Factsfrequency_2, FactssignalEnergy;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: FactssignalProcessing_1;Fault detection;;MAR-M247;;;Factsfrequency_2, FactssignalEnergy;5;15
1197;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_76a7d852c8c9.ttl;2;Fault detection;Maintainable item;low-frequency transformer;Unknown synchronization;Not reported;FactsacousticPressure, acoustic signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;low-frequency transformer;;;FactsacousticPressure, acoustic signals;5;15
1198;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_781f5eb358bd.ttl;1;Fault feature extraction;Maintainable item;railway track;Unknown synchronization;Not reported;acceleration data, harmonic order 12-14, operational characteristics, strain data, train speed, vertical wheel force;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;railway track;;;acceleration data, harmonic order 12-14, operational characteristics, strain data, train speed, vertical wheel force;5;15
1199;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_784c635b412d.ttl;1;Remaining useful life estimation;Maintainable item;distressed concrete pipe segments;Unknown synchronization;Not reported;current, reliability parameter, metal particles in lubrication, shape parameter beta, temperature level, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;distressed concrete pipe segments;;;current, reliability parameter, metal particles in lubrication, shape parameter beta, temperature level, vibration;5;15
1200;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_785ddb1ecc01.ttl;1;Fault detection;Maintainable item;machine;Unknown synchronization;Not reported;current operational situation of each machine, Downtime duration, sensor data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;machine;;;current operational situation of each machine, Downtime duration, sensor data;5;15
1201;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_789d4e223de6.ttl;2;Fault detection;Maintainable item;20kV XLPE cable system;Unknown synchronization;Not reported;Cable age, Engineered features, Labeled training data, Corrosion, Neutral conductor corrosion, Noisy data, Partial discharge, Visual inspections;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;20kV XLPE cable system;;;Cable age, Engineered features, Labeled training data, Corrosion, Neutral conductor corrosion, Noisy data, Partial discharge, Visual inspections;5;15
1202;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7936a6d31e36.ttl;2;Remaining useful life estimation;Maintainable item;non-permanent bolting connections;Unknown synchronization;Not reported;process parameters;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;non-permanent bolting connections;;;process parameters;5;15
1203;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7ac79f3ecde7.ttl;2;Fault identification;Maintainable item;Photovoltaic power station in Aoulef-Adrar;Unknown synchronization;Not reported;solar radiation, weather information, humidity, power residual;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;Photovoltaic power station in Aoulef-Adrar;;;solar radiation, weather information, humidity, power residual;5;15
1204;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7ba7791cad36.ttl;1;Fault identification;Maintainable item;SKF 30205J2/Q tapered roller bearing;Unknown synchronization;Not reported;RMS, unbalance, vibration response;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;SKF 30205J2/Q tapered roller bearing;;;RMS, unbalance, vibration response;5;15
1205;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7d3afcd0b143.ttl;1;Health assessment;Maintainable item;battery;Unknown synchronization;Not reported;battery state, driving segments, current, state of power, voltage;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;battery;;;battery state, driving segments, current, state of power, voltage;5;15
1206;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7d68dca0a95a.ttl;2;Remaining useful life estimation;Maintainable item;gas-insulated switchgear;Unknown synchronization;Not reported;Environmental factors, FactsstreamingSensorData;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;gas-insulated switchgear;;;Environmental factors, FactsstreamingSensorData;5;15
1207;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7ee90e1dd3f8.ttl;1;Fault detection;Maintainable item;FactsGaNHallSensor;Unknown synchronization;FactsMagneticFieldInspection;magnetic field, magnetic field intensity, reference condition with no field applied, FactssensorPlotLines, Factstemperature_5, wafer resistance consistency;case-study type dropped: Maintainable item | case study dropped: FactsGaNHallSensor | default online/offline dropped: Unknown synchronization | input-for-model dropped: FactsMagneticFieldInspection;Fault detection;;;;;magnetic field, magnetic field intensity, reference condition with no field applied, FactssensorPlotLines, Factstemperature_5, wafer resistance consistency;5;15
1208;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_7f3c33d3130b.ttl;1;Fault identification;Maintainable item;rotor;Unknown synchronization;Not reported;pressure;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;rotor;;;pressure;5;15
1209;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_80160046114f.ttl;1;Fault feature extraction;Maintainable item;motor;Unknown synchronization;Not reported;Scenarios;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;motor;;;Scenarios;5;15
1210;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_836811d75aa5.ttl;1;Remaining useful life estimation;Maintainable item;battery;Unknown synchronization;Not reported;FactscellBalance;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactscellBalance;Remaining useful life estimation;;battery;;;;5;15
1211;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_842d44f1a21a.ttl;1;Fault identification;Maintainable item;photovoltaic module;Unknown synchronization;Not reported;humidity;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;photovoltaic module;;;humidity;5;15
1212;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_84f585c6cda9.ttl;2;One step future state forecast;Maintainable item;air navigation facility;Unknown synchronization;Not reported;environmental variables, GNSS data, number of nearest neighbors (k), real-time sensor data;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;air navigation facility;;;environmental variables, GNSS data, number of nearest neighbors (k), real-time sensor data;5;15
1213;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_8851ad1ea301.ttl;1;Fault detection;Maintainable item;axial piston pump;Unknown synchronization;Not reported;CNN hyperparameters, operating condition, high-frequency sensor, load history, original sensor data, wear, time-domain method, time series;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;axial piston pump;;;CNN hyperparameters, operating condition, high-frequency sensor, load history, original sensor data, wear, time-domain method, time series;5;15
1214;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_8871ed407bd4.ttl;2;Fault detection;Maintainable item;doubly-fed induction generator;Unknown synchronization;Not reported;magnetic flux leakage signal, controller signal, wind speed, harmonics from multiple signatures, stator current harmonics, time harmonics;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;doubly-fed induction generator;;;magnetic flux leakage signal, controller signal, wind speed, harmonics from multiple signatures, stator current harmonics, time harmonics;5;15
1215;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_8895eba68552.ttl;1;Fault detection;Maintainable item;critical asset;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Fault detection;;critical asset;;;;5;15
1216;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_8931a2f90142.ttl;1;Fault detection;Maintainable item;apparatus;Unknown synchronization;Not reported;energy consumption, reactive power, temperature, vibration;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;apparatus;;;energy consumption, reactive power, temperature, vibration;5;15
1217;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_89721bc0ca3e.ttl;2;Fault detection;Maintainable item;GIL;Unknown synchronization;Not reported;ambient temperature, conductor temperature, internal resistance value, load current, temperature rate of the conductor, vibration signals;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;GIL;;;ambient temperature, conductor temperature, internal resistance value, load current, temperature rate of the conductor, vibration signals;5;15
1218;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_89e5b0acb912.ttl;1;Fault detection;Maintainable item;accumulator;Unknown synchronization;Not reported;motor power consumption, pressure, temperature, volume flow rate;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;accumulator;;;motor power consumption, pressure, temperature, volume flow rate;5;15
1219;extraction_papers\ontocast_runs\run_remaining_222_gpt-5.6-luna_20260723_010000\output\facts_8a066beed2f1.ttl;1;Health assessment;Maintainable item;machinery and equipment;Unknown synchronization;Not reported;predictive variables;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;machinery and equipment;;;predictive variables;5;15
